"player_id","year","serves","serves_won"
100644,"2023",6356,4225
100644,"2017",6104,4084
100644,"2020",3421,2287
100644,"2022",2916,1933
100644,"2019",5381,3486
100644,"2018",5837,3870
100644,"2014",645,364
100644,"2024",7132,5020
100644,"2021",5248,3619
100644,"2016",5871,3728
100644,"2013",39,13
100644,"2015",2671,1666
101404,"1996",6632,4257
101404,"2011",114,52
101404,"1988",NA,NA
101404,"1991",3573,2133
101404,"1989",NA,NA
101404,"1985",NA,NA
101404,"1987",NA,NA
101404,"1997",4895,3114
101404,"1990",NA,NA
101404,"1998",4020,2486
101404,"1999",1203,696
101404,"1993",7070,4605
101404,"1992",4336,2669
101404,"1984",NA,NA
101404,"1995",7617,4897
101404,"1994",5912,3774
101404,"2010",66,41
101404,"1986",NA,NA
101736,"1992",3997,2540
101736,"1997",1792,1097
101736,"1995",5801,3917
101736,"1986",NA,NA
101736,"1993",3042,1971
101736,"1990",NA,NA
101736,"2005",3774,2510
101736,"1994",5004,3251
101736,"1987",NA,NA
101736,"1988",NA,NA
101736,"2000",3716,2466
101736,"2001",4738,3151
101736,"2002",4809,3245
101736,"1998",5913,3917
101736,"1999",5258,3604
101736,"2006",1655,1064
101736,"1996",3843,2370
101736,"1991",4127,2601
101736,"2004",3766,2567
101736,"2003",4455,2983
101736,"1989",NA,NA
101868,"2006",1260,750
101868,"1995",1058,720
101868,"1997",673,430
101868,"2001",64,37
101868,"1992",82,46
101868,"2007",342,247
101868,"2003",868,579
101868,"1996",942,563
101868,"1998",214,131
101868,"2005",890,561
101868,"2002",666,413
101868,"2004",605,368
101868,"1993",112,79
101868,"2009",124,90
101885,"2006",1384,961
101885,"2005",2848,1994
101885,"2004",2635,1767
101885,"2007",611,420
101885,"1998",682,480
101885,"2003",2801,1916
101885,"2002",4005,2799
101885,"2000",2457,1711
101885,"2001",3631,2488
101885,"1999",2221,1627
101885,"1996",196,135
101889,"1995",4168,2543
101889,"2003",NA,NA
101889,"1988",NA,NA
101889,"1992",3846,2340
101889,"1994",3013,1833
101889,"1990",124,76
101889,"1997",3661,2210
101889,"2001",951,561
101889,"1999",1968,1161
101889,"2000",893,531
101889,"2004",NA,NA
101889,"1991",3353,2015
101889,"1993",3218,1896
101889,"1989",NA,NA
101889,"2005",NA,NA
101889,"1996",4912,2964
101889,"1998",3842,2244
101962,"2001",4737,3090
101962,"1996",2694,1680
101962,"2006",174,115
101962,"2004",154,66
101962,"2002",5299,3506
101962,"1994",3234,1960
101962,"2000",4995,3220
101962,"2003",4966,3295
101962,"2005",734,405
101962,"2008",479,321
101962,"2010",119,78
101962,"1992",240,142
101962,"1995",795,467
101962,"1990",NA,NA
101962,"2007",319,201
101962,"1991",NA,NA
101962,"1998",398,260
101962,"1993",2517,1572
101962,"1997",243,149
101962,"1999",4037,2591
101965,"2000",5271,3432
101965,"1990",NA,NA
101965,"2004",2170,1385
101965,"2005",NA,NA
101965,"1994",7274,4684
101965,"1998",4640,2911
101965,"1991",3516,2156
101965,"1997",4039,2513
101965,"2003",3252,2077
101965,"1995",6577,4152
101965,"2002",3981,2557
101965,"1992",5832,3708
101965,"1996",5455,3492
101965,"2001",3012,1861
101965,"1999",4323,2807
101965,"1993",5012,3186
102035,"1994",4510,2720
